90 Release D. 0 | is with | Software Revis ion D. 00
♦ | select | numeric name
example | is in | Setup EEG menu
you | view | time period
you | view | longer time period
wave speed | compresses | wave
waveform | Increasing | speed
monitor | distinguishes | three groups
monitor | distinguishes | three groups of wave speed settings
wave speed group setting | defines | speed of waves in group
wave speed group setting | speed of | waves in group
required27 | value from | list of available speeds
required27 | value from | list
required27 | value from | list of speeds
1 | selecting | its wave
wave group speed | set speed for | wave channel
wave group speed | setting on | monitor Screen
wave group speed | set speed for | individual wave channel
wave group speed | set | speed
new wave | retain | set channel speed
wave channel speed | is independent of | label
you | change | wave
wave channel speed | is independent of | wave depicted
wave channel speed | is | independent
wave channel speed | is independent of | wave
wave channel speed | is independent of | wave depicted in channel
wave | retain | set channel speed
You | using | cursors
You | can freeze waves on | screen of wave
You | can freeze | waves
You | can freeze waves on | screen
waves | are frozen with | history
waves | are frozen with | history of 20 seconds
waves | are | frozen
1 | selecting | wave on screen
1 | selecting | wave
realtime wave | is replaced with | frozen wave
realtime wave | is | replaced
realtime wave | is replaced with | wave
realtime waves | are | replaced
realtime waves | are replaced with | waves
realtime waves | are replaced with | frozen waves
this | automatically positions | cursor
this | positions | vertical cursor
you | are using | touch
this | positions | cursor
this | automatically positions | vertical cursor
cursor | touching | required point
cursor | touching | required point on wave
cursor | touching | point
cursor | touching | point on wave
cursor moves | is | displayed
vertical cursor moves | is | displayed
vertical cursor moves | is displayed next to | cursor
cursor moves | is displayed next to | cursor
you | lets view | longer time period
you | lets view | time period
wave speed | compresses | wave
waveform | Increasing | speed
3 Select | speed from | list
that | is freeze | current wave
that | is freeze | wave
that | Updating | Frozen Wave
that | Updating | Wave
1 Select | Releasing | Waves
Select | Releasing | Waves
Select | Releasing | Frozen Waves
1 Select | Releasing | Frozen Waves
frozen waves | are | released
You | measure | multiple pressures
You | measure | invasive pressures
You | measure | pressures
You | measure | multiple invasive pressures
monitor | uses | labels
labels | distinguish between | them
default settings | are stored within | label
default settings | defined in | profile
you | assign label to | measurement
you | assign | label
labels | are used in | reports
labels | are | used
labels | are | used throughout monitor in reports
labels | are used throughout | monitor
Your monitor | use | Restricted label set
Your monitor | be | configured
Your monitor | use | label set
Full label | provides | extra labels for Pressure
label | provides | labels for Pressure
Full label | provides | extra labels
label | provides | extra labels for Pressure
Full label | provides | labels for Pressure
label | provides | labels
Full label | provides | labels
label | provides | extra labels
sections | is in | Instructions
measurement server | using | Full label
additional labels | switch to | labels available
measurement server | using | Full label set
additional labels | switch to | labels
you | connect measurement server from | monitor
you | connect | measurement server
measurement server | using | Full label set to IntelliVue monitor
measurement server | using | label set to IntelliVue monitor
measurement server | using | label
measurement server | using | label set
additional labels | switch to | labels available in target monitor
This | may cause | label conflict with other monitored measurements
This | may cause | label conflict with other measurements
label conflict | is with | other monitored measurements
This | may cause | label conflict
This | may cause | label conflict with measurements
